station_id, observation_time,raw_text
CWGB,2023-04-05T21:00:00Z,CWGB 052100Z AUTO 10021KT 08/ RMK AO1 PK WND 11026/2003 SLP194 T0075 58010
CWGD,2023-04-05T21:00:00Z,CWGD 052100Z AUTO 15010KT 15/14 RMK AO1 4PAST HR 6015 SLP059 P0002 T01520140 50034
CWGH,2023-04-05T21:00:00Z,CWGH 052100Z AUTO 06005KT 01/01 RMK AO1 4PAST HR 8009 SLP135 P0013 T00120007 50120
CWGL,2023-04-05T21:00:00Z,CWGL 052100Z AUTO 13011KT 03/03 RMK AO1 PRESFR SLP065 T00310028 58029
CWGM,2023-04-05T21:00:00Z,CWGM 052100Z AUTO 25013G23KT 04/M13 RMK AO1 SOG 01 7008 PK WND 25026/2038 SLP168 T00361130
CWGR,2023-04-05T21:00:00Z,CWGR 052100Z AUTO 30013G19KT M02/M08 RMK AO1 PK WND 30021/2004 SLP296 T10151075 58001
CWGT,2023-04-05T21:00:00Z,CWGT 052100Z AUTO 11028KT 07/03 RMK AO1 PK WND 11032/2042 SLP191 T00740029 56011
CWGW,2023-04-05T21:00:00Z,CWGW 052100Z AUTO 10004KT 05/M13 RMK AO1 SOG 01 6009 SLP171 T00471133
CWGY,2023-04-05T21:00:00Z,CWGY 052100Z AUTO 13005KT M07/M10 RMK AO1 SOG 27 6011 SLP220 T10681100
CWGZ,2023-04-05T21:00:00Z,CWGZ 052100Z 00000KT 7SM FEW070 M28/M31 A3022 RMK AS1 AS TR SLP245
CWHI,2023-04-05T21:00:00Z,CWHI 052100Z AUTO 12003KT M01/M04 RMK AO1 T10141036
CWHL,2023-04-05T21:00:00Z,CWHL 052100Z AUTO 15025G30KT 07/02 RMK AO1 2PAST HR 8011 PK WND 15040/2048 SLP072 P0001 T00740021 50002
CWHO,2023-04-05T21:00:00Z,CWHO 052100Z AUTO 00030KT M04/M15 RMK AO1 SLP209 T10391147 51010
CWHP,2023-04-05T20:00:00Z,CWHP 052000Z AUTO 33013KT M01/M12 RMK AO1 PK WND 34018/1934 SLP267 T10131116 53003
CWHQ,2023-04-05T21:00:00Z,CWHQ 052100Z AUTO 07011G21KT M03/M06 RMK AO1 9PAST HR M PK WND 08021/2015 P0004 T10331058 50042
CWHT,2023-04-05T21:00:00Z,CWHT 052100Z AUTO 25003KT 03/M06 RMK AO1 SOG 42 8022 SLP018 T00271056
CWHV,2023-04-05T21:00:00Z,CWHV 052100Z AUTO 12009KT M03/M05 RMK AO1 0PAST HR 6032 PK WND 12018/2041 SLP251 P0008 T10341049 50061
CWID,2023-04-05T21:00:00Z,CWID 052100Z AUTO 14007G15KT 05/M08 RMK AO1 PK WND 14018/2016 SLP115 T00461080 56014
CWIG,2023-04-05T21:00:00Z,CWIG 052100Z AUTO 02016KT RMK AO1 PK WND 03020/2052
CWII,2023-04-05T21:00:00Z,CWII 052100Z AUTO 01011G16KT M05/M08 RMK AO1 PK WND 02021/2008 SLP040 T10501078 55003
CWIJ,2023-04-05T20:00:00Z,CWIJ 052000Z AUTO 17009KT M14/M16 RMK AO1 T11421161
CWIK,2023-04-05T21:00:00Z,CWIK 052100Z AUTO 33015G20KT M04/M14 RMK AO1 SOG 09 6001 PK WND 34022/2033 SLP178 T10441138
CWIL,2023-04-05T21:00:00Z,CWIL 052100Z AUTO ///// ////SM ////// M22/M24 A3011
CWIP,2023-04-05T21:00:00Z,CWIP 052100Z AUTO 20013G19KT M02/M11 RMK AO1 PK WND 20020/2031 T10231106
CWIS,2023-04-05T21:00:00Z,CWIS 052100Z AUTO 06005KT M08/M09 RMK AO1 4PAST HR SOG 154 6023 SLP280 P0009 T10811093 50063
CWIT,2023-04-05T21:00:00Z,CWIT 052100Z AUTO 07004KT 01/01 RMK AO1 7PAST HR SOG 03 8014 SLP163 P0014 T00130008 50214
CWIW,2023-04-05T21:00:00Z,CWIW 052100Z AUTO 30008KT M07/M16 RMK AO1 SOG 18 8007 SLP224 T10651156
CWIZ,2023-04-05T21:00:00Z,CWIZ 052100Z AUTO 04004KT 01/01 RMK AO1 2PAST HR M P0012 T00110009 50181
CWJB,2023-04-05T21:00:00Z,CWJB 052100Z AUTO M04/M04 RMK AO1 2PAST HR SOG 78 M P0005 T10371041 50062
CWJC,2023-04-05T21:00:00Z,CWJC 052100Z AUTO 16008KT M11/M14 RMK AO1 SOG 03 6004 SLP263 T11081137
CWJD,2023-04-05T21:00:00Z,CWJD 052100Z AUTO 01010G18KT 01/M13 RMK AO1 SOG 54 6012 PK WND 02018/2045 SLP160 T00051129
CWJH,2023-04-05T21:00:00Z,CWJH 052100Z AUTO 04004KT 01/M15 RMK AO1 SOG 69 6011 SLP214 T00101147
CWJI,2023-04-05T21:00:00Z,CWJI 052100Z AUTO 29007KT M09/M15 RMK AO1 SOG 17 7003 SLP230 T10921147
CWJO,2023-04-05T20:00:00Z,CWJO 052000Z AUTO 11006KT 00/M13 RMK AO1 SLP276 T00001134 56039
CWJR,2023-04-05T21:00:00Z,CWJR 052100Z AUTO 16005KT 08/M03 RMK AO1 SLP192 T00841029 56018
CWJT,2023-04-05T21:00:00Z,CWJT 052100Z AUTO 07004KT M00/M02 RMK AO1 0PAST HR 5016 SLP176 P0004 T10011015 50070
CWJU,2023-04-05T21:00:00Z,CWJU 052100Z AUTO 11010G16KT 07/06 RMK AO1 PK WND 12018/2030 SLP016 T00710061 56007
CWJV,2023-04-05T21:00:00Z,CWJV 052100Z AUTO 30004KT 12/M09 RMK AO1 SLP175 T01151092 56020
CWJW,2023-04-05T21:00:00Z,CWJW 052100Z AUTO 13006KT 08/M13 RMK AO1 SOG 01 6020 SLP144 T00781134
CWJX,2023-04-05T21:00:00Z,CWJX 052100Z AUTO 10005KT M06/M08 RMK AO1 SOG 34 6010 SLP224 T10551082
CWKD,2023-04-05T20:00:00Z,CWKD 052000Z AUTO M04/M14 RMK AO1 SLP300 T10351141 56036
CWKG,2023-04-05T21:00:00Z,CWKG 052100Z AUTO 11005KT 05/M14 RMK AO1 SLP295 T00481135 56011
CWKH,2023-04-05T21:00:00Z,CWKH 052100Z AUTO 06/02 RMK AO1 SLP190 T00640016 56008
CWKM,2023-04-05T21:00:00Z,CWKM 052100Z AUTO 27007KT ////SM FEW025 M19/M24 A2994
CWKO,2023-04-05T21:00:00Z,CWKO 052100Z AUTO 31008KT M06/M20 RMK AO1 SOG 13 4000 SLP222 T10641199
CWKX,2023-04-05T21:00:00Z,CWKX 052100Z AUTO 19007KT 03/M04 RMK AO1 SOG 45 5007 SLP081 T00251037
CWLB,2023-04-05T21:00:00Z,CWLB 052100Z AUTO 14005KT 02/M07 RMK AO1 SOG 20 8008 SLP165 T00211074
CWLC,2023-04-05T21:00:00Z,CWLC 052100Z AUTO 13031G38KT 07/02 RMK AO1 PK WND 13038/2055 T00670022
CWLE,2023-04-05T21:00:00Z,CWLE 052100Z AUTO 25005KT M08/M16 RMK AO1 SOG 25 7006 SLP238 T10831162
CWLM,2023-04-05T21:00:00Z,CWLM 052100Z AUTO 11004KT 09/M00 RMK AO1 SLP200 T00911001 56010
CWLP,2023-04-05T21:00:00Z,CWLP 052100Z AUTO 12038G44KT 06/03 RMK AO1 PK WND 11048/2035 SLP126 T00600028 58011
CWLS,2023-04-05T21:00:00Z,CWLS 052100Z AUTO 17008KT 10/09 RMK AO1 4PAST HR 0000 PK WND 15017/2010 SLP087 P0002 T00970089 50103
CWLX,2023-04-05T21:00:00Z,CWLX 052100Z AUTO ///// ////SM ////// M18/M24 A3014
CWLY,2023-04-05T21:00:00Z,CWLY 052100Z AUTO 19018G29KT 160V230 9SM CLR 11/M06 A3000 RMK SLP164
CWME,2023-04-05T20:00:00Z,CWME 052000Z AUTO 06010KT 09/M01 RMK AO1 SLP119 T00891009 56015
CWMJ,2023-04-05T21:00:00Z,CWMJ 052100Z AUTO 00000KT M00/M00 RMK AO1 6PAST HR SOG 37 8013 SLP159 P0006 T10021002 50033
CWMM,2023-04-05T21:00:00Z,CWMM 052100Z AUTO 02004KT 10/M00 RMK AO1 SLP213 T00961002 56013
CWMQ,2023-04-05T21:00:00Z,CWMQ 052100Z AUTO 11002KT 01/M07 RMK AO1 SLP196 T00141071 58012
CWMT,2023-04-05T21:00:00Z,CWMT 052100Z AUTO 15015G21KT M01/M10 RMK AO1 SOG 36 6013 PK WND 17021/2015 SLP118 T10071100
CWNC,2023-04-05T21:00:00Z,CWNC 052100Z AUTO 01007G15KT 06/05 RMK AO1 2PAST HR PRESRR 3010 PK WND 32023/2046 SLP123 P0005 T00580047 50049
CWND,2023-04-05T20:00:00Z,CWND 052000Z AUTO 34011KT M17/M21 RMK AO1 SLP092 T11741207 53001
CWNE,2023-04-05T21:00:00Z,CWNE 052100Z AUTO 13002KT M02/M10 RMK AO1 SLP302 T10221095 58011
CWNH,2023-04-05T21:00:00Z,CWNH 052100Z AUTO 36004KT M03/M12 RMK AO1 SOG 59 6025 SLP294 T10331121
CWNK,2023-04-05T21:00:00Z,CWNK 052100Z AUTO 33016G22KT M06/M08 RMK AO1 3007 PK WND 34027/2037 SLP054 T10561082 50005
CWNM,2023-04-05T21:00:00Z,CWNM 052100Z AUTO 26008KT 10/M07 RMK AO1 SLP185 T00991066 56016
CWNP,2023-04-05T21:00:00Z,CWNP 052100Z AUTO 28002KT 08/M04 RMK AO1 SOG 03 6020 SLP183 T00781037
CWNQ,2023-04-05T21:00:00Z,CWNQ 052100Z AUTO 05009KT M02/M03 RMK AO1 8PAST HR 8036 SLP212 P0003 T10171030 50051
CWNZ,2023-04-05T21:00:00Z,CWNZ 052100Z AUTO 10019G29KT M04/M07 RMK AO1 PRESFR SOG 78 8073 PK WND 10030/2027 SLP027 T10381066
CWOB,2023-04-05T21:00:00Z,CWOB 052100Z AUTO 04004KT ////SM ////// M12/M14 A3011
CWOC,2023-04-05T21:00:00Z,CWOC 052100Z AUTO 26006KT M00/M10 RMK AO1 SOG 54 7010 SLP290 T10041098
CWOD,2023-04-05T21:00:00Z,CWOD 052100Z AUTO 35002KT M04/M13 RMK AO1 SOG 48 6028 SLP275 T10371126
CWOE,2023-04-05T21:00:00Z,CWOE 052100Z AUTO 06010KT M03/M06 RMK AO1 SOG 24 7011 SLP193 T10301060
CWOY,2023-04-05T21:00:00Z,CWOY 052100Z AUTO 30007KT M06/M14 RMK AO1 SLP213 T10571140 56005
CWPD,2023-04-05T21:00:00Z,CWPD 052100Z AUTO 06003KT M08/M10 RMK AO1 0PAST HR 5021 SLP274 P0008 T10801102 50040
CWPE,2023-04-05T21:00:00Z,CWPE 052100Z AUTO 10001KT 01/M10 RMK AO1 SLP312 T00131097 55002
CWPF,2023-04-05T21:00:00Z,CWPF 052100Z AUTO 17005KT 08/02 RMK AO1 SLP199 T00750021 57011
CWPK,2023-04-05T21:00:00Z,CWPK 052100Z AUTO 09006KT M06/M07 RMK AO1 PRESFR SOG 93 8029 SLP218 T10571074 50008
CWPO,2023-04-05T21:00:00Z,CWPO 052100Z AUTO 34017G26KT M07/M09 RMK AO1 SOG 45 3010 PK WND 32027/2041 SLP084 T10661088
CWPR,2023-04-05T21:00:00Z,CWPR 052100Z AUTO 15004KT 11/M09 RMK AO1 SLP171 T01081090 56023
CWPZ,2023-04-05T21:00:00Z,CWPZ 052100Z AUTO 15007KT 06/M04 RMK AO1 SOG 30 6009 SLP122 T00571040
CWQH,2023-04-05T21:00:00Z,CWQH 052100Z AUTO 13001KT M00/M01 RMK AO1 6PAST HR 6036 SLP214 P0026 T10041006 50103
CWQK,2023-04-05T21:00:00Z,CWQK 052100Z AUTO 08006KT 07/02 RMK AO1 SLP200 T00740015 58010
CWQO,2023-04-05T21:00:00Z,CWQO 052100Z AUTO 07004KT M02/M13 RMK AO1 T10151133
CWQP,2023-04-05T21:00:00Z,CWQP 052100Z AUTO 07017G23KT 03/02 RMK AO1 9PAST HR 8011 PK WND 07023/2056 SLP107 P0007 T00300024 50178
CWQR,2023-04-05T21:00:00Z,CWQR 052100Z AUTO 25015KT M01/M08 RMK AO1 PK WND 25027/2003 T10061081
CWQS,2023-04-05T20:00:00Z,CWQS 052000Z AUTO 14030G41KT 08/04 RMK AO1 PK WND 14041/1913 SLP016 T00810035 56008
CWQV,2023-04-05T21:00:00Z,CWQV 052100Z AUTO 09015KT M02/ RMK AO1 PK WND 08018/2029 T1019
CWRA,2023-04-05T21:00:00Z,CWRA 052100Z AUTO 02/M04 RMK AO1 SLP187 T00171044 53041
CWRJ,2023-04-05T21:00:00Z,CWRJ 052100Z AUTO 27003KT M10/M13 RMK AO1 SOG 03 6006 SLP236 T10981134
CWRK,2023-04-05T21:00:00Z,CWRK 052100Z AUTO M00/M00 RMK AO1 8PAST HR SOG 19 3004 SLP126 P0003 T10041004 50086
CWRM,2023-04-05T21:00:00Z,CWRM 052100Z AUTO 15008KT 03/M10 RMK AO1 SOG 23 6012 SLP130 T00271096
CWRN,2023-04-05T21:00:00Z,CWRN 052100Z AUTO 30015KT M00/M06 RMK AO1 PK WND 29023/2003 SLP310 T10021055 51011
CWRO,2023-04-05T21:00:00Z,CWRO 052100Z AUTO 15034G45KT 05/ RMK AO1 PK WND 16050/2020 SLP048 T0051 56009
CWRT,2023-04-05T21:00:00Z,CWRT 052100Z AUTO 29011G20KT 03/M12 RMK AO1 PK WND 30020/2058 SLP175 T00301116 58009
CWRU,2023-04-05T20:00:00Z,CWRU 052000Z AUTO 12056G68KT 05/ RMK AO1 2PAST HR 8021 PK WND 12071/1938 SLP081 P0005 T0052 50030
CWRY,2023-04-05T21:00:00Z,CWRY 052100Z AUTO 28014KT 04/M09 RMK AO1 SOG 16 6006 PK WND 32022/2002 SLP170 T00391086
CWRZ,2023-04-05T21:00:00Z,CWRZ 052100Z AUTO 14009KT M02/M08 RMK AO1 SLP293 T10181076 57006
CWSA,2023-04-05T21:00:00Z,CWSA 052100Z AUTO 35014KT 9SM OVC086 01/M05 A3045 RMK SLP312
CWSD,2023-04-05T21:00:00Z,CWSD 052100Z AUTO 07007KT M01/M08 RMK AO1 SOG 02 8007 SLP309 T10121076
CWSF,2023-04-05T21:00:00Z,CWSF 052100Z AUTO 29008KT M03/M13 RMK AO1 SOG 20 8024 PK WND 27017/2044 SLP295 T10311130
CWSG,2023-04-05T21:00:00Z,CWSG 052100Z AUTO 36001KT M03/M12 RMK AO1 SLP309 T10321119 55020
CWSK,2023-04-05T21:00:00Z,CWSK 052100Z AUTO 16006KT 10/M01 RMK AO1 SLP203 T00961013 56015
CWSL,2023-04-05T21:00:00Z,CWSL 052100Z AUTO 35004KT 10/M03 RMK AO1 SLP180 T00951027 56021
CWSP,2023-04-05T21:00:00Z,CWSP 052100Z AUTO 13009KT 07/04 RMK AO1 SLP200 T00690036 56010
CWSR,2023-04-05T21:00:00Z,CWSR 052100Z AUTO 02002KT M02/M12 RMK AO1 SOG 13 6007 SLP212 T10161115
CWSS,2023-04-05T21:00:00Z,CWSS 052100Z AUTO 07004KT 01/M06 RMK AO1 SLP289 T00051059 58027
CWST,2023-04-05T21:00:00Z,CWST 052100Z AUTO 03004KT M05/M06 RMK AO1 6PAST HR SOG 21 6026 SLP292 P0002 T10461061 50019
CWSW,2023-04-05T21:00:00Z,CWSW 052100Z 16005KT 20SM BKN055 BKN230 05/M13 A2993 RMK SC7CI1 CI TR SLP175
CWTA,2023-04-05T21:00:00Z,CWTA 052100Z AUTO 00035KT M00/01 RMK AO1 6PAST HR SOG 38 5009 SLP191 P0002 T10010005 50089
CWTG,2023-04-05T21:00:00Z,CWTG 052100Z AUTO 22008KT M04/M10 RMK AO1 SLP312 T10361095 55013
CWTN,2023-04-05T21:00:00Z,CWTN 052100Z AUTO 03009KT M02/M06 RMK AO1 0PAST HR 6034 PK WND 02018/2008 SLP285 P0004 T10191063 50043
CWTT,2023-04-05T21:00:00Z,CWTT 052100Z AUTO 13005KT 01/01 RMK AO1 T00050005
CWTY,2023-04-05T21:00:00Z,CWTY 052100Z AUTO 06019G26KT M01/M03 RMK AO1 PK WND 05026/2053 SLP227 T10141031 57038
CWUS,2023-04-05T21:00:00Z,CWUS 052100Z AUTO 14015G22KT 10/M11 RMK AO1 PK WND 13022/2054 SLP174 T00991110 56023
CWUW,2023-04-05T21:00:00Z,CWUW 052100Z AUTO 27002KT ////SM NCD M11/M26 A3001
CWUX,2023-04-05T21:00:00Z,CWUX 052100Z AUTO 14012G20KT M02/M12 RMK AO1 PK WND 12021/2049 SLP280 T10181115 56020
CWVF,2023-04-05T21:00:00Z,CWVF 052100Z AUTO 14013KT 08/02 RMK AO1 PK WND 14017/2029 T00820022
CWVI,2023-04-05T21:00:00Z,CWVI 052100Z AUTO 19008KT M02/M06 RMK AO1 SOG 20 6006 SLP184 T10161056
CWVN,2023-04-05T21:00:00Z,CWVN 052100Z AUTO 23001KT M08/M14 RMK AO1 SOG 19 6007 SLP235 T10821137
CWVP,2023-04-05T21:00:00Z,CWVP 052100Z AUTO 21006KT M07/M09 RMK AO1 SOG 42 8006 SLP191 T10711092
CWVQ,2023-04-05T21:00:00Z,CWVQ 052100Z AUTO 04001KT M00/M01 RMK AO1 4PAST HR 5011 SLP185 P0002 T10021009 50090
